name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Elegance Rose Dark Chocolate Eggs,"Brand: DOLGAM
CASE | 10 x 10.58 oz (300g)",,,600856,d3457ba8-3124-45de-a7d1-f63157b751ad,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/64e14c5b-0ce0-508c-916a-c27f3bab175d.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Extra Virgin White Truffle Oil,"Brand: COLAVITA
CASE | 6 x 8.5 OZ",,,563402,74f0223c-60f3-4d6f-813f-fd50ef806e77,EACH,,CASE,,39153100398,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/686c4188-1465-5511-9819-e14975fedee5.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Fruit Cream Nougat Bar Display,"Brand: QUARANTA
CASE | 25 x 3.5 OZ",,,723686,780187ca-53eb-4c75-a636-8e45ee866355,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/86019bf6-6ec7-54b5-8766-c8f0de4fc74a.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Gianduia Panettone Cake,"Brand: BALOCCO
CASE | 12 x 800 GR",,,642206,0e8096db-c998-4810-9433-24ba8c10916d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/47904e29-0b64-5e25-8fe9-2272d1c1cf42.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Green Olive Pate in Extra Virgin Olive Oil,"Brand: COLAVITA
CASE | 6 x 4.76 OZ",,,415903,af0af812-b7b0-4f01-9e80-8c41dde2ffa5,EACH,,CASE,,39153200142,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8a5ecaf8-f03f-5976-8fb7-5140381b428a.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Milk Chocolate Easter Eggs 4.23oz,"Brand: LA FEDE
CASE | 15 x 4.23 OZ (120G)",,,600806,ae9fbc7a-6858-4442-9583-42ac1f8a9136,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/85e262b7-7a75-419d-a60a-d20b9a4a55c1.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Milk Chocolate Easter Eggs 7.76 oz,"Brand: LA FEDE
CASE | 18 x 7.76 OZ (220g)",,,600813,92031bcc-4873-42c4-b59e-9598ac3a8565,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e6f184fb-70b4-4126-bb0f-555ac3c6888c.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Milk Chocolate Egg With Soccer Ball,"Brand: DOLGAM
CASE | 8 x 4.2OZ & BALL",,,601118,2543f3f7-c278-4474-89ed-d3b098fa28c0,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0ebe273f-a4ad-4dd8-82f4-3c5b63c2abda.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Milk Chocolate Unicorn Egg,"Brand: DOLGAM
CASE | 9 x 10.5 OZ",,,601115,e8d73000-e884-4f42-806f-191a21312690,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/402e95e0-5c8a-56d7-a598-85f65e93f915.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Mini Amarena Panettone Cake,"Brand: FABBRI
CASE | 12 x 100 GR",,,541165,3a7875d9-5b76-4b2f-86c3-4cdca50128ac,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5a2d31bb-2750-5e0b-ba62-338aaddcbfb6.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
