name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level 2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Roasted Butternut Squash Ravioli,"Brand: JOSEPHS
CASE | 2 x 3 LB
EACH | 1 x 3 LB",,,707998,565d3e3c-e994-402d-ae4c-8bd7af3a92b8,EACH,,CASE,,48769413365,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/618455ee-8913-5bb2-9faa-789b73eb52af.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Roasted Butternut Squash Ravioli,"Brand: JOSEPHS
CASE | 2 x 3 LB
EACH | 1 x 3 LB",,,707998,5fd8cf95-97cb-459e-81f8-8043d3ee1759,,,EACH,,48769413365,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/618455ee-8913-5bb2-9faa-789b73eb52af.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Roman Rigatoni,"Brand: COLAVITA
CASE | 20 x 1 LB",,,856566,cd3c2457-2424-48dc-a661-fe1dc4657192,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c6883fcf-4f6d-5dae-914a-0f7aef8afa46.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rosmarino Orzo #71,"Brand: RISCOSSA
CASE | 20 x 1 LB",,,812482,f4d0e794-1dad-440e-a99d-e766db0d1c56,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/fe4f660d-efae-5173-8975-a43e6bda4ff3.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rotelle Pasta #53,"Brand: RISCOSSA
CASE | 20 x 1 LB",,,856481,90663eaf-55e0-4d76-9e66-6e22dd40d478,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2761408a-dd76-52b9-a431-61e8088a44d7.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rotelle Pasta #54,"Brand: DE CECCO
CASE | 12 x 1 LB",,,857185,67929490-2554-45a4-a18f-4080e10323ad,EACH,,CASE,,24094001262,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0df58ab9-0d15-5851-bdf5-a23e8fce85c0.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rotini Bulk Pasta,"Brand: PACKER
CASE | 2 x 10 LB",,,711531,6fabbd2b-46ea-455a-8116-8ce33282ae79,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8f093c22-c591-5d37-b5bb-26920911eadb.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rotini Pasta,"Brand: PASTA CITY
CASE | 20 x 1.1 LB",,,710854,da9c7a21-0ef5-4ffc-b8a3-88597dc8a766,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d749c1ac-87da-5774-830d-9da46b8c8142.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Rotini Pasta,"Brand: BARILLA
CASE | 12 x 16 OZ",,,816558,c480fd6a-dc2a-445b-a07a-f3afbc250abe,EACH,,CASE,,76808002829,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cc9ef83a-75d4-592c-8d43-40519e8186c5.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Round Cheese Ravioli,"Brand: ITALIAN FEAST
CASE | 24 x 13 OZ",,,743937,af2271e1-8f5c-4d3f-9698-aeddee640f44,EACH,,CASE,,74847454142,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/05907df7-e5d1-515d-a338-7f6e0bd27d83.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Round Cheese Ravioli 96 CT,"Brand: INDIGO
CASE | 1 x 6 LB 4 OZ",,,702251,bf9a8821-fc49-4fe6-9ca1-6328d3d31143,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/61aacb8f-aa3f-551f-9cdf-4d4f6401e9b3.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Round Mozzarella & Roasted Pepper Ravioli,"Brand: RAFFETTO'S
CASE | 6 x 12 CT",,,710719,4b15de7f-46fc-49d0-8930-d6296f239431,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/20f924a6-1e61-5484-ba87-2518e509af16.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Sacchetti Cheese Pasta,"Brand: JOSEPHS
CASE | 2 x 3 LB",,,708336,1f1a16b0-2f3d-4ccd-9f46-42fa100ff3bb,EACH,,CASE,,48769250076,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/68d1ea07-e9d8-5e43-b41c-0e9f7daddbca.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Sage & Spinach Ravioli,"Brand: SIGNOR
CASE | 1 x 7 LB",,,702223,c72621b4-0ace-4b2d-a5f9-65acad352cc0,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/200fd88a-e98c-5d80-85f4-fe48473b17c1.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
