name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Americana 00 Super Flour,"Brand: CAPUTO
CASE | 1 x 25 KG",,,667717,434fd801-9458-43ff-883a-46e7eaa17fef,EACH,,CASE,,,,,,,,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Aria Flour,"Brand: CAPUTO
CASE | 1 x 25 KL",,,668372,14c40a58-409c-4137-b364-2f243011ce25,EACH,,CASE,,,,,,,,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Artisan Bread Flour,"Brand: SIR GALAHAD
CASE | 1 x 50 LB",,,667853,d10b991c-1e96-4a7f-9bfb-1b4960868425,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/98774e30-2106-4183-ac8f-d81cae96d504.png""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Balancer Flour,"Brand: PILLSBURY
CASE | 1 x 50 LB",,,667880,9c324507-20a3-42a2-86d2-d3a3b17086df,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9189f39a-7b68-51be-af3a-7b621eaf66ca.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Best Bakers Patent Flour,"Brand: PILLSBURY
CASE | 1 x 50 LB",,,667976,25c2a2be-c7a4-4584-959d-28f25836cee8,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/4b882415-5971-5c6f-81b2-3399d61f6ce9.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Blanched Almond Flour,"Brand: BAZZINI
EACH | 1 x 4 LB CAN
CASE | 6 x 4 LB CAN",,,667570,0c1594e6-22e0-4e35-9cea-e8d7f2507187,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d6b8f4f6-6a5f-5a73-82af-361229db7b70.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Blanched Almond Flour,"Brand: BAZZINI
EACH | 1 x 4 LB CAN
CASE | 6 x 4 LB CAN",,,667570,2327bbb3-6556-4040-b801-b1e9bebb254b,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d6b8f4f6-6a5f-5a73-82af-361229db7b70.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Brick Oven Flour,"Brand: FOUR STAR
CASE | 1 x 50 LB",,,667869,b37eaee4-c372-4a5d-a05c-a6d93f2ee991,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cfa962da-81ac-5568-b8f1-089c204f7b40.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Buckwheat Flour,"Brand: ABEL & SCHAFER
CASE | 1 x 10 LB",,,667898,50e109be-3805-469a-9ce4-c6140f7eb369,EACH,,CASE,,7.16E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9076f504-86d1-5a34-a552-10efbfa203fa.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Bulk Coarse Farina,"Brand: BAY STATE
CASE | 1 x 50 LB",,,668792,1fad9ff2-869c-47ed-8c94-c86a653ee71b,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9d1d67f0-e9f2-469a-ab40-a2447c742697.xsl""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
