name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"BOX LUNCH KIT SML 4-2/7X2-1/5"" BROWN","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223682,aac31b38-9830-4c66-a648-e8df5dd9498b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223682.JPG,,www.don.com/product/1223682,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT SML 4-2/7X2-1/5"" CREAM","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223683,c64087ba-e119-47fe-a65f-0426e985c439,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223683.JPG,,www.don.com/product/1223683,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT MED 6X1-4/5"" GREY","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223684,88d529b1-59aa-4d34-9371-e35b8f65b5d5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223684.JPG,,www.don.com/product/1223684,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT MED 6X1-4/5"" PINK","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223685,9e8cb9ab-5541-4f60-bc03-e61c6518edce,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223685.JPG,,www.don.com/product/1223685,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT MED 6X1-4/5"" MINT","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223686,38dcef41-3ce8-4709-a29a-a507c302a321,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223686.JPG,,www.don.com/product/1223686,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT MED 6X1-4/5"" LEATHER BRN","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223687,075451d6-43e2-40db-a46b-8fe4976251bb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223687.JPG,,www.don.com/product/1223687,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT MED 6X1-4/5"" CREAM","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223688,a2afafc4-041b-45e7-b756-469e353438ab,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223688.JPG,,www.don.com/product/1223688,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 9-1/2"" OPAL INTENSITY WHITE","Plate. Opal® fully tempered bright white body. Resists chipping, scratching, impact, and thermal shock. 0% porosity body which does not absorb bacteria and reduces the risk of cross contamination. Additional items can be found at DON.com.",Glass,,1224711,81f4fcf7-7c7d-4fcb-a733-5016d032c1e6,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1224711.JPG,,www.don.com/product/1224711,,,,Cardinal International,Dinnerware,Glass Dinnerware,Cardinal,Other Cardinal,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE PASTA 8-1/2"" OPAL INTENSITY WHITE","Soup/Pasta Plate. Opal® fully tempered bright white body. Resists chipping, scratching, impact, and thermal shock. 0% porosity body which does not absorb bacteria and reduces the risk of cross contamination. Additional items can be found at DON.com.",Glass,,1224712,1960d7d5-3574-4057-9300-3b6de98adcc8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1224712.JPG,,www.don.com/product/1224712,,,,Cardinal International,Dinnerware,Glass Dinnerware,Cardinal,Other Cardinal,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE SALAD 8"" OPAL INTENSITY WHITE","Salad Plate. Opal® fully tempered bright white body. Resists chipping, scratching, impact, and thermal shock. 0% porosity body which does not absorb bacteria and reduces the risk of cross contamination. Additional items can be found at DON.com.",Glass,,1224713,34b5b606-a1fb-4abb-a0fd-1e95717c642f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1224713.JPG,,www.don.com/product/1224713,,,,Cardinal International,Dinnerware,Glass Dinnerware,Cardinal,Other Cardinal,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
