image,sku,desc,size,extra_data
,,"SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (FT):100Material Thickness (Gauge):16Office Supplies Product Features:3-Wire GroundedUPC-12:075877826008, 756847002348, 815333016549UPC-14 (GTIN):10075877826005, 20815333016543Product Type:Extension Cord",,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (FT):100Material Thickness (Gauge):16Office Supplies Product Features:3-Wire GroundedUPC-12:075877826008, 756847002348, 815333016549UPC-14 (GTIN):10075877826005, 20815333016543Product Type:Extension Cord""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273351%2Fprimary%2F0b769bc0f7f33fb00ebbc598045e384d62fa2f3d-400x400.webp&w=640&q=75,,SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F8776%2Fprimary%2Fdea708e603febd2ea5fb7e4978d9f0985d0585dd-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):50Material Thickness (Gauge):16Material Weight:Heavy DutyOffice Supplies Product Features:3-Wire GroundedUPC-12:044882425452, 075877826503, 756847000467, 815333016532UPC-14 (GTIN):10075877826500, 18997004661353Product Type:Extension Cord",,"{""remaining_desc"":""SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):50Material Thickness (Gauge):16Material Weight:Heavy DutyOffice Supplies Product Features:3-Wire GroundedUPC-12:044882425452, 075877826503, 756847000467, 815333016532UPC-14 (GTIN):10075877826500, 18997004661353Product Type:Extension Cord""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F102794%2Fprimary%2F67f8d112168809fe00a34ebc5aeb4befcf91a941-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineUPC-12:791058440039UPC-14 (GTIN):70791058440038Product Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineUPC-12:791058440039UPC-14 (GTIN):70791058440038Product Type:Battery""}"
,,SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:NylonColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:24111500Additional Product Features:LadderProduct Category:Batteries & Electrical SuppliesLength (IN):7Tensile Strength (LB):40UPC-12:097153084728Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:NylonColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:24111500Additional Product Features:LadderProduct Category:Batteries & Electrical SuppliesLength (IN):7Tensile Strength (LB):40UPC-12:097153084728Product Type:Cable Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F106250%2Fprimary%2Fc84941f8eca02b7a7aae69013bfbc57fe8e015cc-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsColor:BlackOffice Supplies Product Type:2-Way RadioESP Chemical:falseAdditional Product Features:UHF, 5 Watt, 16 ChannelsProduct Category:Batteries & Electrical SuppliesProduct Type:2-Way Radio",,"{""remaining_desc"":""SpecificationsSpecificationsColor:BlackOffice Supplies Product Type:2-Way RadioESP Chemical:falseAdditional Product Features:UHF, 5 Watt, 16 ChannelsProduct Category:Batteries & Electrical SuppliesProduct Type:2-Way Radio""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F14472%2Fprimary%2F06c15bfcb0fa4c0fbe6de1fbff444cc567792769-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsColor:Red, YellowOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Additional Product Features:600VProduct Category:Batteries & Electrical SuppliesLength (FT):50UPC-12:661899105759, 661899109597Product Type:Extension Cord",,"{""remaining_desc"":""SpecificationsSpecificationsColor:Red, YellowOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Additional Product Features:600VProduct Category:Batteries & Electrical SuppliesLength (FT):50UPC-12:661899105759, 661899109597Product Type:Extension Cord""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F419305%2Fprimary%2F58145d57ca75813c284f11078ef954dcf2c59a7b-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:AAProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:AAProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F103865%2Fprimary%2Ffbacd87d11fa593dfdaec970f1382e1dbb3b6edb-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:CProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:CProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414226%2Fprimary%2F3a3ec0ee9b202e16eccaab8f5105e50d65d03260-400x400.webp&w=640&q=75,,SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):14Tensile Strength (LB):50Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):14Tensile Strength (LB):50Product Type:Cable Tie""}"
