image,sku,name,pack,size,content_url,extra_data
,,Extension Cord 100 FT 16GA 3-Wire Grounded,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-100-ft-16ga-3-wire-grounded-1-each-world%20%26%20main-91565?id=8550,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (FT):100Material Thickness (Gauge):16Office Supplies Product Features:3-Wire GroundedUPC-12:075877826008, 756847002348, 815333016549UPC-14 (GTIN):10075877826005, 20815333016543Product Type:Extension Cord""}"
,,Procell Professional® Battery C Alkaline,12/Pack,,https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-c-alkaline-12-pack-duracell-PC1400?id=273351,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
,,Extension Cord 50 FT Orange 16GA Heavy Duty 3-Wire Grounded,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-50-ft-orange-16ga-heavy-duty-3-wire-grounded-1-each-world%20%26%20main-16%2F2CORD?id=8776,"{""remaining_desc"":""SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):50Material Thickness (Gauge):16Material Weight:Heavy DutyOffice Supplies Product Features:3-Wire GroundedUPC-12:044882425452, 075877826503, 756847000467, 815333016532UPC-14 (GTIN):10075877826500, 18997004661353Product Type:Extension Cord""}"
,,Fuji Batteries® EnviroMax Battery AAA Alkaline,24/Pack,,https://www.imperialdade.com/catalog/product-detail/fuji-batteries-enviromax-battery-aaa-alkaline-24-pack-fdk%20group-4400BP24?id=102794,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineUPC-12:791058440039UPC-14 (GTIN):70791058440038Product Type:Battery""}"
,,Cable Tie 7 IN Black Nylon 40LB Ladder 1000 Count/Bag 5 Bags/Case 5000 Count/Case,,,https://www.imperialdade.com/catalog/product-detail/cable-tie-7-in-black-nylon-40lb-ladder-1000-count-bag-5-bags-case-5000-count-case-andfel-510-07L-0?id=256765,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:NylonColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:24111500Additional Product Features:LadderProduct Category:Batteries & Electrical SuppliesLength (IN):7Tensile Strength (LB):40UPC-12:097153084728Product Type:Cable Tie""}"
,,Kenwood 2-Way Radio Black UHF 5 Watt 16 Channels,1/Each,,https://www.imperialdade.com/catalog/product-detail/kenwood-2-way-radio-black-uhf-5-watt-16-channels-1-each-cutler%20communication-NX-P1300NUK?id=106250,"{""remaining_desc"":""SpecificationsSpecificationsColor:BlackOffice Supplies Product Type:2-Way RadioESP Chemical:falseAdditional Product Features:UHF, 5 Watt, 16 ChannelsProduct Category:Batteries & Electrical SuppliesProduct Type:2-Way Radio""}"
,,Extension Cord 50 FT Red Yellow 600V,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-50-ft-red-yellow-600v-1-each-nationwide%20sales%20%26%20service%20inc-926Y?id=14472,"{""remaining_desc"":""SpecificationsSpecificationsColor:Red, YellowOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Additional Product Features:600VProduct Category:Batteries & Electrical SuppliesLength (FT):50UPC-12:661899105759, 661899109597Product Type:Extension Cord""}"
,,Battery AA 4 Count/Pack 6 Packs/Case 24 Count/Case,,,https://www.imperialdade.com/catalog/product-detail/battery-aa-4-count-pack-6-packs-case-24-count-case-energizer-EN91PK?id=419305,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:AAProduct Type:Battery""}"
,,Procell Professional® Battery C 12 Count/Box,,,https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-c-12-count-box-duracell-USDURPC1400?id=103865,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:CProduct Type:Battery""}"
,,Cable Tie 14 IN Natural 50LB,500/Pack,,https://www.imperialdade.com/catalog/product-detail/cable-tie-14-in-natural-50lb-500-pack-nelco%20products-N-14-50-9-D?id=414226,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):14Tensile Strength (LB):50Product Type:Cable Tie""}"
,,Extension Cord 100 FT Orange 14GA 3-Wire Grounded,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-100-ft-orange-14ga-3-wire-grounded-1-each-world%20%26%20main-R3000?id=8549,"{""remaining_desc"":""SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):100Material Thickness (Gauge):14Office Supplies Product Features:3-Wire GroundedUPC-12:075877830005UPC-14 (GTIN):10075877830002, 20815333016574Product Type:Extension Cord""}"
,,Procell Professional® Battery D 1.5 Volt 1.5V Alkaline 12 Count/Box,,,https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-d-1-5-volt-1-5v-alkaline-12-count-box-duracell-MN1300V8?id=419320,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:D, 1.5 VoltOffice Supplies Product Type:BatteryESP Chemical:falseAdditional Product Features:1.5VProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
,,Battery C Industrial,12/Box,,https://www.imperialdade.com/catalog/product-detail/battery-c-industrial-12-box-energizer-ENGEN93?id=49613,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:IndustrialProduct Category:Batteries & Electrical SuppliesUPC-14 (GTIN):10039800019216, 30039800019210Product Type:Battery""}"
,,Extension Cord 25 FT Orange 16GA 3-Wire Grounded,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-25-ft-orange-16ga-3-wire-grounded-1-each-world%20%26%20main-R2625%2016%2F3%20SJT?id=8785,"{""remaining_desc"":""SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):25Material Thickness (Gauge):16Office Supplies Product Features:3-Wire GroundedUPC-12:075877826268, 815333016525UPC-14 (GTIN):10075877826265, 20815333016529Product Type:Extension Cord""}"
,,Cable Tie 18 IN Black 18LB,1000/Pack,,https://www.imperialdade.com/catalog/product-detail/cable-tie-18-in-black-18lb-1000-pack-jbc-CT818M?id=269034,"{""remaining_desc"":""SpecificationsSpecificationsColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:52150000Product Category:Batteries & Electrical SuppliesLength (IN):18Tensile Strength (LB):18Product Type:Cable Tie""}"
,,Extension Cord 50 FT Orange 14GA Extra Heavy Duty 3-Wire Grounded,1/Each,,https://www.imperialdade.com/catalog/product-detail/extension-cord-50-ft-orange-14ga-extra-heavy-duty-3-wire-grounded-1-each-gogreen%20power-GG-13850BK?id=8772,"{""remaining_desc"":""SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):50Material Thickness (Gauge):14Material Weight:Extra Heavy DutyOffice Supplies Product Features:3-Wire GroundedUPC-12:815333016792UPC-14 (GTIN):10075877830507, 20815333016796Product Type:Extension Cord""}"
