"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"SAUCE MARINARA 6/#10","4617","1 CASE","#10 CAN","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-marinara-6-10/","CONTINENTAL CHEF","","","","","","Badger Murphy","",""
,"SAUCE ORANGE 4/5 LB +","4655","1 CASE +","5 POUND","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-orange-4-5-lb/","KIKKOMAN","","","","","","Badger Murphy","",""
,"SAUCE ORANGE ZESTY 4/.5 GAL +","4657","1 CASE +",".5 GALLON","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-orange-zesty-4-5-gal/","MINORS","","","","","","Badger Murphy","",""
,"SAUCE PIZZA 6/#10 ITALIAN CHEF","9403A","1 CASE","#10 CAN","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-pizza-6-10-italian-chef/","ITALIAN CHEF","","","","","","Badger Murphy","",""
,"SAUCE PLUM 6/5 LB *","4643","1 CASE *","5 POUND","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-plum-6-5-lb/","KOON CHUN","","","","","","Badger Murphy","",""
,"SAUCE SOY 1 GAL","4614","1 GAL.","1 GAL.","",,"","","","","GAL.","","https://www.badgermurphy.com/product/sauce-soy-1-gal/","KIKKOMAN","","","","","","Badger Murphy","",""
,"SAUCE SOY 12/5 OZ *","4624","1 CASE *","5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-soy-12-5-oz/","KIKKOMAN","","","","","","Badger Murphy","",""
,"SAUCE SPAGHETTI 6/#10","4240","1 CASE","#10 CAN","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-spaghetti-6-10/","TERESA","","","","","","Badger Murphy","",""
,"SAUCE SWEET & SOUR 4.6875 LB","4608","1 JAR","4.6875 LB.","",,"","","","","JAR","","https://www.badgermurphy.com/product/sauce-sweet-sour-4-6875-lb/","MINORS","","","","","","Badger Murphy","",""
,"SAUCE TABASCO 144/ 1/8 OZ. BOTTLES *","9395","1 CASE *","1/8 OZ","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tabasco-144-1-8-oz-bottles/","TABASCO","","","","","","Badger Murphy","",""
,"SAUCE TABASCO 12/12 OZ","9030B","1 CASE","12 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tabasco-12-12-oz/","TABASCO","","","","","","Badger Murphy","",""
,"SAUCE TABASCO 12/5 OZ","9030C","1 CASE","5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tabasco-12-5-oz/","TABASCO","","","","","","Badger Murphy","",""
,"SAUCE TABASCO 200/3 GM PACKETS +","9396","1 CASE +","3 GRM","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tabasco-200-3-gm-packets/","TABASCO","","","","","","Badger Murphy","",""
,"SAUCE TABASCO 24/2 OZ","9030","1 CASE","2 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tabasco-24-2-oz/","TABASCO","","","","","","Badger Murphy","",""
,"SAUCE TACO MILD PC 200/9 GM *","4238","1 CASE *","9 GRM","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-taco-mild-pc-200-9-gm/","PORTION PAC","","","","","","Badger Murphy","",""
,"SAUCE TARTAR 1 GAL","9123A","1 GAL.","1 GAL.","",,"","","","","GAL.","","https://www.badgermurphy.com/product/sauce-tartar-1-gal/","BONNE CHEER","","","","","","Badger Murphy","",""
,"SAUCE TARTAR 4/1 GAL","9123","1 CASE","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tartar-4-1-gal/","BONNE CHEER","","","","","","Badger Murphy","",""
,"SAUCE TARTAR PC 200/12 GM","9119","1 CASE","12 GRAM","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-tartar-pc-200-12-gm/","PORTION PAC","","","","","","Badger Murphy","",""
,"SAUCE TERIYAKI 1 GAL *","4615","1 GAL. *","1 GAL.","",,"","","","","GAL.","","https://www.badgermurphy.com/product/sauce-teriyaki-1-gal/","KIKKOMAN","","","","","","Badger Murphy","",""
,"SAUCE TERIYAKI 2/1 GAL +","9208","1 CASE +","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-teriyaki-2-1-gal/","CONWAY","","","","","","Badger Murphy","",""
,"SAUCE TERIYAKI PINEAPPLE/HONEY BASTE & GLAZE 6/5 LB *","4659","1 CASE *","5 LB","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-teriyaki-pineapple-honey-baste-glaze-6-5-lb/","KIKKOMAN","","","","","","Badger Murphy","",""
,"SAUCE THAI SWEET CHILI 12 32 OZ","4625","1 CASE","32 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-thai-sweet-chili-12-32-oz/","MAE PLOY","","","","","","Badger Murphy","",""
,"SAUCE WORCESTERSHIRE 24/5 OZ","4629","1 CASE","5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-worcestershire-24-5-oz/","LEA & PERRINS","","","","","","Badger Murphy","",""
,"SAUCE WORCESTERSHIRE 4/1 GAL","4628","1 CASE","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauce-worcestershire-4-1-gal/","N/A","","","","","","Badger Murphy","",""
,"SAUCE WORCESTERSHIRE 1 GAL","4628A","1 GAL.","1 GAL.","",,"","","","","GAL.","","https://www.badgermurphy.com/product/sauce-worcestershire-1-gal/","N/A","","","","","","Badger Murphy","",""
,"SAUERKRAUT FRESH 2 GAL *","6487","1 PAIL *","N/A","",,"","","","","PAIL","","https://www.badgermurphy.com/product/sauerkraut-fresh-2-gal/","VIENNA","","","","","","Badger Murphy","",""
,"SAUERKRAUT FRESH 5 GAL","6485","1 PAIL","5 GAL.","",,"","","","","PAIL","","https://www.badgermurphy.com/product/sauerkraut-fresh-5-gal/","VIENNA","","","","","","Badger Murphy","",""
,"SAUERKRAUT SHREDDED 12/27 OZ","4229","1 CASE","27 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauerkraut-shredded-12-27-oz/","N/A","","","","","","Badger Murphy","",""
,"SAUERKRAUT SHREDDED 6/#10","9037","1 CASE","#10 CAN","",,"","","","","CASE","","https://www.badgermurphy.com/product/sauerkraut-shredded-6-10/","REST PRIDE","","","","","","Badger Murphy","",""
,"SAUSAGE ROLL PORK 6/3 LB +","6400","18 LB. +","3 LB.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sausage-roll-pork-6-3-lb/","JONES","","","","","","Badger Murphy","",""
,"SESAME SEED WHITE HULLED 50 LB","0386B","50 LB.","N/A","",,"","","","","BAG","","https://www.badgermurphy.com/product/sesame-seed-white-hulled-50-lb/","N/A","","","","","","Badger Murphy","",""
