"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"BACON TURKEY SLICED 16/12 OZ","6411","1 CASE","12 OZ.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-turkey-sliced-16-12-oz/","OSCAR MAYER","","","","","","Badger Murphy","",""
,"BAGS BREAD FRENCH 1000 CT","4084","1 CASE","4.5x2.5x24","",,"","","","","","","https://www.badgermurphy.com/product/bags-bread-french-1000-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS BUN PAN COVER 21X6X35 200 CT","4082","1 ROLL","21x6x35","",,"","","","","","","https://www.badgermurphy.com/product/bags-bun-pan-cover-21x6x35-200-ct/","FORTUNE PLASTICS","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 2# 1/500 CT.","4064","1 BNDL *","2#","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-2-1-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 4# 500 CT","4067","1 BNDL","4 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-4-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 6# 500 CT","4073","1 BNDL","6 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-6-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 8# 500 CT","4077","1 BNDL","8 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-8-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 10# 500 CT","4052","1 BNDL","10 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-10-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 12# 500 CT","4055","1 BNDL","12 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-12-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 16# 500 CT","4058","1 BNDL","16 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-16-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER BROWN 20 # SHORT 500 CT +","4061","1 BNDL +","20 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-brown-20-short-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER SHOPPING BROWN WITH HANDLE 250 CT +","4056","1 BNDL +","13""x7""x17""","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-shopping-brown-with-handle-250-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 3# 500 CT +","4063","1 BNDL +","3 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-3-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 10# 500 CT *","4054","1 BNDL *","10 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-10-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 12# 500 CT","4057","1 BNDL","12 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-12-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 16# 500 CT.","4078","1 BNDL","16 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-16-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 25# SHORT 1/500 CT","4053","1 BNDL","25 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-25-short-1-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 4# 500 CT","4069","1 BNDL","4 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-4-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 6# 500 CT","4075","1 BNDL","6 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-6-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PAPER WHITE 8# 500 CT","4079","1 BNDL","8 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bags-paper-white-8-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS PASTRY BLUE PLAIN 100 CT *","837202","1 CASE *","100 CT","",,"","","","","","","https://www.badgermurphy.com/product/bags-pastry-blue-plain-100-ct/","PIPINQ","","","","","","Badger Murphy","",""
,"BAGS PASTRY RED HOT 74 CT *","837200","1 CASE *","74 CT","",,"","","","","","","https://www.badgermurphy.com/product/bags-pastry-red-hot-74-ct/","PIPINQ","","","","","","Badger Murphy","",""
,"BAGS PIPING 21 IN CLEAR DISPOSABLE 100 CT +","4070","1 BOX +","21 INCH","",,"","","","","","","https://www.badgermurphy.com/product/bags-piping-21-in-clear-disposable-100-ct/","M&Q PACKAGING","","","","","","Badger Murphy","",""
