name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
CLEANER FRYER BREAK-UP  2 OZ PK,"Cleaner. Attacks grease and grime on ovens, grills, fryers and more. Breaks down tough, baked-on grease and grime on contact, even on cold surfaces. Formulated to take most of the dirty work and old-fashioned scrubbing out of cleaning.",,,1152863,d9d1e2ed-8c68-4602-912e-2daed7acd10a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1152863.JPG,,www.don.com/product/1152863,,,,R3 Papercraft,Cleaning Products,Oven_Fryer_Grill Cleaners,Miscellaneous,Over_Fryer_Gill Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POWDER SCOURING F/ FRYERS 24 OZ,Powder.,,,1105320,8d26f9b6-3b00-4f8b-bb49-db62d1336f7c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1105320.JPG,,www.don.com/product/1105320,,,,Gycor International LLC,Cleaning Products,Oven_Fryer_Grill Cleaners,Powdered Cleaners,All Powdered Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER ESPRESSO TABLETS 200,Espresso Cleaner Tablets.,,,1J287,642c4793-7c4d-489c-9cc0-aab69cf73cd2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J287.JPG,,www.don.com/product/1J287,,,,Weiman Products,Cleaning Products,Oven_Fryer_Grill Cleaners,Powdered Cleaners,All Powdered Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PACKETS DETERGENT DISINFECTANT,Disinfectant Detergent Packets.,,,1J181,4d6aef1f-4e35-43b0-a761-48690516f48e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J181.JPG,,www.don.com/product/1J181,,,,Essendant - Np&Pc,Cleaning Products,Oven_Fryer_Grill Cleaners,Powdered Cleaners,All Powdered Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER ESPRESSO 20 OZ CAFIZA POWDER,Espresso Cleaner.,,,1J286,d4632365-f982-47cb-a1af-74286ec09c84,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J286.JPG,,www.don.com/product/1J286,,,,Weiman Products,Cleaning Products,Oven_Fryer_Grill Cleaners,Powdered Cleaners,All Powdered Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
KIT OVEN CLEANER 1-BTL 16-POWDER PACKETS,Oven/grill Cleaner.,,,1230075,748a2297-43b1-4eca-8b95-477b6e978aff,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1230075.JPG,,www.don.com/product/1230075,,,,Parts Town LLC,Cleaning Products,Oven_Fryer_Grill Cleaners,Powdered Cleaners,All Powdered Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DETERGENT OVEN CONVOCLEAN FORTE 2-1/2GAL,Oven Cleaner.,,,1178983,08e0e9fa-dbee-4765-9dc1-c9042975c57a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1178983.JPG,,www.don.com/product/1178983,,,,Magnus Chemical,Cleaning Products,Oven_Fryer_Grill Cleaners,Liquid_Gel Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
RINSE AID MULTI CLEAN 10 L,Rinse Agent.,,,1189669,20a239cb-ffe2-42c4-b3d4-a96ccc0f8bdf,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1189669.JPG,,www.don.com/product/1189669,,,,Eloma USA,Cleaning Products,Oven_Fryer_Grill Cleaners,Liquid_Gel Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER OVEN & GRILL AERO 18 OZ,Oven Cleaner.,,,1246568,02f339d0-220e-4f0a-8a0e-1270863fea76,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1246568.JPG,,www.don.com/product/1246568,,,,Chase Products Co - Np & Pc,Cleaning Products,Oven_Fryer_Grill Cleaners,Aerosol Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER DAILY POSTER F/ OVEN SOTA-TC,Poster.,,,1143659,4e121833-4346-484f-b570-38a5862038a1,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1143659.JPG,,www.don.com/product/1143659,,,,Parts Town LLC,Cleaning Products,Oven_Fryer_Grill Cleaners,Miscellaneous,Over_Fryer_Gill Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER OVEN/GRILL 1 QUART,Oven/grill Cleaner.,,,1143688,bd24ae31-27fe-42a7-a070-4ce469ae7de7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1143688.JPG,,www.don.com/product/1143688,,,,Sts,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PROTECTOR OVEN 32 OZ MERRYCHEF,Protectant.,,,1112198,e06c3b9f-5055-4529-aa03-03ffa26b90e4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1112198.JPG,,www.don.com/product/1112198,,,,Merrychef,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER OVEN MULTI CLEAN 10 L,Mulit-clean.,,,1189668,cc7fd099-f6a4-485c-8fda-be21e95708d0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1189668.JPG,,www.don.com/product/1189668,,,,Eloma USA,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DETERGENT DET&RINSE 5 L,Oven Cleaner.,,,1205638,feb856ad-0109-464b-8888-c297d6692699,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1205638.JPG,,www.don.com/product/1205638,,,,Unox,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DETERGENT SPRAY & RINSE 750 ML,Detergent.,,,1230492,9cd781d1-3dc2-49ab-ba13-a00cb43dbf16,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1230492.JPG,,www.don.com/product/1230492,,,,Unox,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER OVEN GUARD 32OZ BOTTLE TURBOCHEF,Spray Oven Cleaner.,,,1227937,5bcf3565-6191-4f76-beaf-827409898e23,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1227937.JPG,,www.don.com/product/1227937,,,,Parts Town LLC,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PROTECTOR OVEN SHIELD ACP OVEN 2 SPRAY,Oven Shield.,,,1046519,678631b1-36b8-46bd-b730-93fbfec6c41d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1046519.JPG,,www.don.com/product/1046519,,,,Acp,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER OVEN MERRYCHEF,Oven Cleaner.,,,1187066,54818e7f-54ec-490c-abd3-5f6919e58a59,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1187066.JPG,,www.don.com/product/1187066,,,,Merrychef,Cleaning Products,Oven_Fryer_Grill Cleaners,Oven Cleaners,Liquid,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
