name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,group,Level 1 Category,Level 2 Category,Level 3 Category
FRESHENER AIR REFRESH 2.0 CHERRY,Freshener.,,,1195872,7af1c5db-e80f-4a7a-b477-e51fe30255a8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1195872.JPG,,www.don.com/product/1195872,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIR REFRESH 2.0 GREEN APPLE,Freshener.,,,1195873,d2e5bfbc-a9cc-48f3-b013-1cbcefe4a7c5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1195873.JPG,,www.don.com/product/1195873,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
DISP MICROBURST 3000 PROGRAMABLE BLK,Air Freshener Disp.,,,1199691,98e7b301-46c7-43dd-a1a7-52f950167ff5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1199691.JPG,,www.don.com/product/1199691,,,,Newell Brands,Cleaning Products,Air Care_Odor Control,Dispenser,Deodorant Wall Mount,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH SPICED APPLE,Airfreshner.,,,1207488,1ad1f837-df55-42ae-817c-60d08e435159,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207488.JPG,,www.don.com/product/1207488,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH CUCUMBER MELON,Airfreshner.,,,1207489,9bc67057-1442-472e-8f14-b04a66fcea20,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207489.JPG,,www.don.com/product/1207489,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH MANGO,Airfreshner.,,,1207490,7a3eb502-ae58-4e50-935e-e323dc0cb93c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207490.JPG,,www.don.com/product/1207490,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH COTTON BLOSSOM,Airfreshner.,,,1207491,37067f2b-9fef-4f26-93ac-f19d303766a0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207491.JPG,,www.don.com/product/1207491,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH KIWI GRAPEFRUIT,Airfreshner.,,,1207492,f44ed3f6-7e59-4138-8a9b-3e6be2856e31,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207492.JPG,,www.don.com/product/1207492,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH SUMMER SUNSHINE,Airfreshner.,,,1207493,2552d79e-f26d-4bf0-b817-4035978de7ee,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207493.JPG,,www.don.com/product/1207493,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH SEASIDE BREEZE,Airfreshner.,,,1207494,b0bb18e4-351e-4ae4-90b0-04116c9495db,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207494.JPG,,www.don.com/product/1207494,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
REFILL DRY OURFRESH COCONUT VANILLA,Airfreshner.,,,1207495,abb1aceb-0d02-493d-80c5-d33ddb31b3d9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207495.JPG,,www.don.com/product/1207495,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
